model,weight
vgg16,0.07692307692307693
resnet152,0.07692307692307693
dense161,0.15384615384615385
dense169,0.07692307692307693
resnext,0.15384615384615385
vgg19_bn1,0.15384615384615385
vgg19_bn2,0.15384615384615385
vgg19_bn3,0.15384615384615385
